"ENSG","Gene","Protein.class","Consensus.RNA.Specificity","Consensus.Enriched.Enhanced.Tissue","Consensus.Distribution","Consensus.Max","Consensus.Min","Human.brain.regional.RNA.Specificity","Human.brain.regional.Enriched.Enhanced.Tissue","Human.brain.regional.Distribution","Human.brain.regional.Max","Human.brain.regional.Min","Human.brain.domain.RNA.Specificity","Human.brain.domain.Enriched.Enhanced.Tissue","Human.brain.domain.Distribution","Human.brain.domain.Max","Human.brain.domain.Min","Human.brain.subregional.RNA.Specificity","Human.brain.subregional.Enriched.Enhanced.Tissue","Human.brain.subregional.Distribution","Human.brain.subregional.Max","Human.brain.subregional.Min","X"
"ENSG00000184675","AMER1","Cancer-related genes;Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014)","Tissue enhanced","tongue","Detected in many","14.72 - tongue","0.32 - choroid plexus","Low tissue specificity","","Detected in all","6.65 - hypothalamus","2.67 - choroid plexus","Low tissue specificity","","Detected in all","6.65 - tuberal hypothalamus","2.67 - choroid plexus","Low tissue specificity","","Detected in all","6.65 - ventromedial nucleus","2.67 - choroid plexus",NA
"ENSG00000156925","ZIC3","Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Transcription factors;Transcription factors predicted","Tissue enriched","brain","Detected in some","16.66 - brain","0.00 - tongue","Low tissue specificity","","Detected in all","28.27 - cerebellum","2.37 - hippocampal formation","Tissue enhanced","cerebellum","Detected in all","28.27 - cerebellum","1.81 - claustrum","Tissue enhanced","cerebellar cortex;flocculonodular lobe;vermis","Detected in all","28.27 - cerebellar cortex","1.06 - lateral funiculus (white matter)",NA
"ENSG00000198573","SPANXC","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","30.20 - testis","0.00 - choroid plexus","Low tissue specificity","","Detected in many","1.99 - hypothalamus","0.15 - choroid plexus","Low tissue specificity","","Detected in some","1.99 - supraoptic hypothalamus","0.15 - choroid plexus","Low tissue specificity","","Detected in some","1.99 - paraventricular nucleus","0.15 - choroid plexus",NA
"ENSG00000189108","IL1RAPL2","Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Kim et al 2014)","Tissue enhanced","adrenal gland","Detected in single","1.37 - adrenal gland","0.00 - choroid plexus","Low tissue specificity","","Detected in many","3.52 - cerebral cortex","0.27 - choroid plexus","Low tissue specificity","","Detected in many","3.52 - insular cortex","0.18 - cerebellar white matter","Low tissue specificity","","Detected in many","3.52 - posterior insular cortex","0.14 - nucleus raphe obscurus",NA
"ENSG00000203923","SPANXN1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","1.48 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.05 - basal ganglia","0.00 - choroid plexus","Not detected","","Not detected","0.05 - Striatum","0.00 - tectum","Not detected","","Not detected","0.05 - putamen","0.00 - supraoptic nucleus",NA
"ENSG00000165509","MAGEC3","Cancer-related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enhanced","brain","Detected in some","3.68 - brain","0.00 - placenta","Low tissue specificity","","Detected in many","8.80 - white matter","0.02 - choroid plexus","Low tissue specificity","","Detected in many","8.80 - cortical white matter","0.02 - choroid plexus","Tissue enhanced","parieto-temporal junction (white matter)","Detected in many","8.80 - parieto-temporal junction (white matter)","0.02 - choroid plexus",NA
"ENSG00000276380","UBE2NL","Predicted intracellular proteins","Not detected","","Not detected","0.16 - skeletal muscle","0.00 - choroid plexus","Not detected","","Not detected","0.41 - basal ganglia","0.05 - choroid plexus","Not detected","","Not detected","0.41 - basal forebrain","0.04 - cerebellar nucleus","Not detected","","Not detected","0.41 - nucleus of the diagonal band","0.02 - medial olivary nucleus",NA
"ENSG00000171116","HSFX1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Transcription factors;Transcription factors predicted","Low tissue specificity","","Detected in many","4.27 - brain","0.00 - tongue","Low tissue specificity","","Detected in all","5.05 - choroid plexus","1.77 - spinal cord","Low tissue specificity","","Detected in all","5.05 - choroid plexus","1.50 - cerebellar white matter","Low tissue specificity","","Detected in all","5.05 - choroid plexus","1.11 - lateral funiculus (white matter)",NA
"ENSG00000182712","CMC4","Cancer related proteins;Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","50.86 - heart muscle","7.16 - retina","Low tissue specificity","","Detected in all","20.12 - medulla oblongata","11.17 - cerebral cortex","Low tissue specificity","","Detected in all","20.12 - medulla oblongata","9.62 - insular cortex","Low tissue specificity","","Detected in all","20.12 - nucleus raphe pallidus","8.12 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000156009","MAGEA8","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","placenta","Detected in some","12.86 - placenta","0.00 - tongue","Low tissue specificity","","Detected in single","1.09 - cerebellum","0.12 - choroid plexus","Low tissue specificity","","Detected in single","1.09 - cerebellum","0.12 - choroid plexus","Low tissue specificity","","Detected in single","1.09 - vermis","0.06 - anterior funiculus (white matter)",NA
"ENSG00000010404","IDS","Disease related genes;Enzymes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enriched","brain","Detected in all","433.50 - brain","5.94 - testis","Low tissue specificity","","Detected in all","1088.05 - hippocampal formation","142.51 - choroid plexus","Low tissue specificity","","Detected in all","1088.05 - hippocampal formation","131.47 - cerebellar white matter","Low tissue specificity","","Detected in all","1088.05 - hippocampus, CA1","131.47 - cerebellar white matter",NA
"ENSG00000228517","CT47A7","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Not detected","","Not detected","0.64 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.09 - choroid plexus","0.01 - cerebellum","Not detected","","Not detected","0.09 - choroid plexus","0.00 - tuberal hypothalamus","Not detected","","Not detected","0.09 - choroid plexus","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000182195","LDOC1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014)","Tissue enhanced","pituitary gland","Detected in many","120.09 - pituitary gland","0.08 - placenta","Low tissue specificity","","Detected in all","28.31 - cerebral cortex","13.57 - choroid plexus","Low tissue specificity","","Detected in all","28.31 - paleocortex","12.66 - cerebellum","Low tissue specificity","","Detected in all","28.31 - olfactory area","11.84 - flocculonodular lobe",NA
"ENSG00000214827","MTCP1","Cancer-related genes;Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in many","5.17 - testis","0.68 - tongue","Low tissue specificity","","Detected in all","3.79 - cerebellum","1.96 - amygdala","Low tissue specificity","","Detected in all","3.79 - cerebellum","1.54 - epithalamus","Low tissue specificity","","Detected in all","3.79 - flocculonodular lobe","1.11 - ventromedial nucleus",NA
"ENSG00000011677","GABRA3","FDA approved drug targets;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Kim et al 2014);Transporters","Group enriched","brain;choroid plexus;retina","Detected in some","33.05 - choroid plexus","0.00 - tongue","Low tissue specificity","","Detected in all","51.73 - choroid plexus","5.88 - cerebellum","Low tissue specificity","","Detected in all","51.73 - choroid plexus","2.97 - cerebellar white matter","Low tissue specificity","","Detected in all","51.73 - choroid plexus","2.52 - flocculonodular lobe",NA
"ENSG00000241489","ENSG00000241489","Predicted intracellular proteins","Low tissue specificity","","Detected in all","60.12 - epididymis","4.98 - liver","Low tissue specificity","","Detected in all","119.30 - hippocampal formation","34.94 - cerebellum","Low tissue specificity","","Detected in all","119.30 - hippocampal formation","34.36 - cerebellum","Low tissue specificity","","Detected in all","119.30 - hippocampus, CA3","28.19 - cerebellar cortex",NA
"ENSG00000185247","MAGEA11","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","epididymis","Detected in some","20.58 - epididymis","0.00 - tongue","Not detected","","Not detected","0.03 - pons","0.00 - choroid plexus","Not detected","","Not detected","0.03 - pons","0.00 - choroid plexus","Not detected","","Not detected","0.03 - reticular pontine nucleus, caudal","0.00 - ventromedial nucleus",NA
"ENSG00000102195","GPR50","G-protein coupled receptors;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted membrane proteins;Protein evidence (Kim et al 2014)","Tissue enriched","pituitary gland","Detected in single","16.67 - pituitary gland","0.00 - choroid plexus","Tissue enhanced","hypothalamus","Detected in many","7.24 - hypothalamus","0.01 - choroid plexus","Tissue enhanced","paleocortex;tuberal hypothalamus","Detected in some","7.24 - tuberal hypothalamus","0.01 - cerebellar white matter","Tissue enhanced","dorsomedial nucleus;paramedian reticular nucleus;parvicellular reticular nuclei, medullary;piriform cortex;subthalamic nucleus","Detected in some","7.24 - dorsomedial nucleus","0.01 - flocculonodular lobe",NA
"ENSG00000166049","PASD1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014)","Tissue enriched","testis","Detected in single","15.67 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.05 - hypothalamus","0.00 - choroid plexus","Not detected","","Not detected","0.05 - tuberal hypothalamus","0.00 - cerebellum","Not detected","","Not detected","0.05 - dorsomedial nucleus","0.00 - angular gyrus (white matter)",NA
"ENSG00000147255","IGSF1","Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enriched","pituitary gland","Detected in many","163.39 - pituitary gland","0.16 - bone marrow","Tissue enhanced","hypothalamus","Detected in all","153.82 - hypothalamus","5.44 - choroid plexus","Tissue enhanced","tuberal hypothalamus","Detected in all","153.82 - tuberal hypothalamus","3.86 - claustrum","Tissue enhanced","arcuate nucleus;dorsomedial nucleus;locus coeruleus;preoptic area;ventromedial nucleus","Detected in all","153.82 - arcuate nucleus","3.14 - temporo-occipital transitional zone",NA
"ENSG00000225110","PNMA6F","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","brain","Detected in single","24.39 - brain","0.00 - tongue","Low tissue specificity","","Detected in many","54.82 - hypothalamus","0.51 - choroid plexus","Tissue enhanced","tuberal hypothalamus","Detected in many","54.82 - tuberal hypothalamus","0.28 - cerebellum","Tissue enhanced","arcuate nucleus;lateral hypothalamic area;locus coeruleus;paraventricular nucleus;preoptic area;ventromedial nucleus","Detected in many","54.82 - ventromedial nucleus","0.18 - vermis",NA
"ENSG00000197021","EOLA2","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Low tissue specificity","","Detected in all","69.31 - adrenal gland","15.75 - tongue","Low tissue specificity","","Detected in all","26.51 - choroid plexus","17.32 - amygdala","Low tissue specificity","","Detected in all","26.51 - choroid plexus","15.93 - insular cortex","Low tissue specificity","","Detected in all","26.51 - choroid plexus","13.03 - parietal operculum",NA
"ENSG00000165775","FUNDC2","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","tongue","Detected in all","18.79 - tongue","1.49 - skin 1","Low tissue specificity","","Detected in all","6.10 - cerebellum","3.88 - amygdala","Low tissue specificity","","Detected in all","6.10 - cerebellum","3.04 - claustrum","Low tissue specificity","","Detected in all","6.10 - cerebellar cortex","2.77 - orbitofrontal gyrus, anterior",NA
"ENSG00000197620","EOLA1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Low tissue specificity","","Detected in all","51.43 - adrenal gland","7.87 - testis","Low tissue specificity","","Detected in all","26.88 - choroid plexus","17.36 - amygdala","Low tissue specificity","","Detected in all","26.88 - choroid plexus","15.21 - epithalamus","Low tissue specificity","","Detected in all","26.88 - choroid plexus","13.35 - orbitofrontal gyrus, anterior",NA
"ENSG00000196406","SPANXD","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","22.63 - testis","0.00 - choroid plexus","Low tissue specificity","","Detected in many","3.40 - hypothalamus","0.19 - choroid plexus","Low tissue specificity","","Detected in many","3.40 - supraoptic hypothalamus","0.19 - choroid plexus","Low tissue specificity","","Detected in many","3.40 - paraventricular nucleus","0.19 - choroid plexus",NA
"ENSG00000133135","RNF128","Cytoskeleton related proteins;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins","Tissue enhanced","intestine;liver","Detected in many","120.84 - liver","0.02 - bone marrow","Low tissue specificity","","Detected in all","8.95 - hypothalamus","1.66 - choroid plexus","Low tissue specificity","","Detected in all","8.95 - tuberal hypothalamus","1.23 - cerebellum","Low tissue specificity","","Detected in many","8.95 - arcuate nucleus","0.73 - temporal white matter",NA
"ENSG00000102243","VGLL1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","placenta","Detected in many","196.97 - placenta","0.00 - choroid plexus","Not detected","","Not detected","0.26 - hypothalamus","0.01 - choroid plexus","Not detected","","Not detected","0.26 - tuberal hypothalamus","0.01 - choroid plexus","Not detected","","Not detected","0.26 - ventromedial nucleus","0.00 - parahippocampal cortex (white matter)",NA
"ENSG00000155495","MAGEC1","Cancer-related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enriched","testis","Detected in single","7.12 - testis","0.00 - tongue","Not detected","","Not detected","0.64 - white matter","0.02 - choroid plexus","Not detected","","Not detected","0.64 - cortical white matter","0.02 - choroid plexus","Not detected","","Not detected","0.64 - parieto-temporal junction (white matter)","0.02 - choroid plexus",NA
"ENSG00000182508","LHFPL1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins","Tissue enhanced","brain;salivary gland","Detected in some","2.84 - salivary gland","0.02 - bone marrow","Low tissue specificity","","Detected in many","26.20 - midbrain","0.68 - choroid plexus","Low tissue specificity","","Detected in many","26.20 - tegmentum","0.62 - cerebellum","Tissue enhanced","substantia nigra","Detected in many","26.20 - substantia nigra","0.35 - vermis",NA
"ENSG00000185010","F8","Candidate cardiovascular disease genes;Disease related genes;FDA approved drug targets;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","heart muscle","Detected in all","51.60 - heart muscle","2.10 - bone marrow","Low tissue specificity","","Detected in all","16.45 - choroid plexus","10.84 - hippocampal formation","Low tissue specificity","","Detected in all","16.45 - choroid plexus","7.45 - cerebellum","Low tissue specificity","","Detected in all","16.45 - choroid plexus","6.04 - temporal white matter",NA
"ENSG00000183631","PRR32","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","tongue","Detected in some","21.51 - tongue","0.00 - choroid plexus","Not detected","","Not detected","0.62 - spinal cord","0.08 - cerebral cortex","Not detected","","Not detected","0.62 - spinal cord","0.04 - claustrum","Not detected","","Not detected","0.62 - cervical spinal cord, central gray","0.01 - precentral gyrus, middle",NA
"ENSG00000235699","CXorf51B","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","145.88 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.04 - cerebral cortex","0.00 - spinal cord","Not detected","","Not detected","0.04 - occipital cortex","0.00 - spinal cord","Not detected","","Not detected","0.04 - area parastriata, superior","0.00 - dorsal funiculus (white matter)",NA
"ENSG00000155966","AFF2","Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transcription factors predicted","Tissue enhanced","bone marrow;epididymis;placenta","Detected in many","14.25 - placenta","0.06 - tongue","Low tissue specificity","","Detected in all","72.67 - hippocampal formation","3.31 - choroid plexus","Low tissue specificity","","Detected in all","72.67 - hippocampal formation","3.31 - choroid plexus","Low tissue specificity","","Detected in all","72.67 - hippocampus, CA1","3.31 - choroid plexus",NA
"ENSG00000198157","HMGN5","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","testis","Detected in all","103.99 - testis","4.66 - placenta","Low tissue specificity","","Detected in all","36.01 - medulla oblongata","19.96 - choroid plexus","Low tissue specificity","","Detected in all","36.01 - medulla oblongata","14.38 - cerebellum","Low tissue specificity","","Detected in all","36.01 - inferior olive","13.62 - flocculonodular lobe",NA
"ENSG00000129680","MAP7D3","Cytoskeleton related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","17.61 - adipose tissue","1.54 - retina","Low tissue specificity","","Detected in all","7.15 - choroid plexus","3.51 - hippocampal formation","Low tissue specificity","","Detected in all","7.15 - choroid plexus","2.97 - retrosplenial cortex","Low tissue specificity","","Detected in all","7.15 - choroid plexus","2.49 - postcentral gyrus",NA
"ENSG00000204086","RPA4","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014)","Tissue enhanced","testis","Detected in single","1.64 - testis","0.00 - tongue","Low tissue specificity","","Detected in many","4.44 - choroid plexus","0.49 - cerebellum","Tissue enhanced","choroid plexus","Detected in many","4.44 - choroid plexus","0.23 - cerebellum","Tissue enhanced","choroid plexus","Detected in some","4.44 - choroid plexus","0.11 - cerebellar cortex",NA
"ENSG00000198889","DCAF12L1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014)","Tissue enhanced","epididymis;testis","Detected in some","6.02 - testis","0.00 - bone marrow","Not detected","","Not detected","0.42 - hypothalamus","0.01 - cerebellum","Not detected","","Not detected","0.42 - tuberal hypothalamus","0.01 - epithalamus","Not detected","","Not detected","0.42 - arcuate nucleus","0.00 - angular gyrus (white matter)",NA
"ENSG00000182890","GLUD2","Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Group enriched","liver;testis","Detected in some","15.02 - testis","0.01 - bone marrow","Low tissue specificity","","Detected in many","3.48 - cerebral cortex","0.74 - cerebellum","Low tissue specificity","","Detected in many","3.48 - occipital cortex","0.25 - cerebellum","Low tissue specificity","","Detected in many","3.48 - temporo-occipital transitional zone","0.16 - flocculonodular lobe",NA
"ENSG00000133138","TBC1D8B","Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","18.87 - adrenal gland","1.54 - tongue","Low tissue specificity","","Detected in all","88.75 - white matter","49.16 - spinal cord","Low tissue specificity","","Detected in all","88.75 - cortical white matter","42.93 - cerebellar nucleus","Low tissue specificity","","Detected in all","88.75 - somatomor cortex, precentral gyrus (white matter)","41.04 - posterior thalamic nucleus",NA
"ENSG00000133131","MORC4","Cancer-related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","placenta","Detected in all","76.98 - placenta","5.09 - brain","Low tissue specificity","","Detected in all","209.33 - white matter","125.30 - spinal cord","Low tissue specificity","","Detected in all","209.33 - cortical white matter","101.23 - cerebellar nucleus","Low tissue specificity","","Detected in all","209.33 - somatomor cortex, precentral gyrus (white matter)","101.23 - cerebellar nuclei",NA
"ENSG00000155959","VBP1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","116.44 - tongue","15.47 - testis","Low tissue specificity","","Detected in all","56.42 - white matter","22.50 - choroid plexus","Low tissue specificity","","Detected in all","56.42 - spinal cord white matter","22.50 - choroid plexus","Low tissue specificity","","Detected in all","56.42 - dorsal funiculus (white matter)","19.38 - orbitofrontal gyrus, anterior",NA
"ENSG00000123496","IL13RA2","Cancer-related genes;CD markers;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","testis","Detected in many","29.17 - testis","0.00 - bone marrow","Tissue enhanced","hypothalamus","Detected in many","24.02 - hypothalamus","0.21 - cerebellum","Tissue enhanced","tuberal hypothalamus","Detected in many","24.02 - tuberal hypothalamus","0.18 - cerebellum","Tissue enhanced","arcuate nucleus;dorsomedial nucleus;lateral hypothalamic area;median raphe nucleus;periaquaductal grey, lateral;supraoptic nucleus;ventromedial nucleus","Detected in many","24.02 - arcuate nucleus","0.11 - flocculonodular lobe",NA
"ENSG00000285547","ENSG00000285547","Predicted intracellular proteins","Tissue enriched","epididymis","Detected in single","1.34 - epididymis","0.00 - choroid plexus","Not detected","","Not detected","0.02 - cerebral cortex","0.00 - spinal cord","Not detected","","Not detected","0.02 - cingulate cortex","0.00 - spinal cord","Not detected","","Not detected","0.02 - posterior cingulate cortex, dorsal","0.00 - parahippocampal cortex (white matter)",NA
"ENSG00000067177","PHKA1","Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Group enriched","parathyroid gland;skeletal muscle;tongue","Detected in many","99.00 - skeletal muscle","0.71 - bone marrow","Low tissue specificity","","Detected in all","33.33 - choroid plexus","9.46 - cerebral cortex","Low tissue specificity","","Detected in all","33.33 - choroid plexus","5.28 - claustrum","Low tissue specificity","","Detected in all","33.33 - choroid plexus","3.82 - angular gyrus (white matter)",NA
"ENSG00000102383","ZDHHC15","Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Potential drug targets;Predicted membrane proteins","Low tissue specificity","","Detected in many","4.38 - salivary gland","0.03 - placenta","Low tissue specificity","","Detected in all","7.32 - hypothalamus","3.88 - amygdala","Low tissue specificity","","Detected in all","7.32 - tuberal hypothalamus","3.39 - claustrum","Low tissue specificity","","Detected in all","7.32 - ventromedial nucleus","3.11 - orbitofrontal gyrus, anterior",NA
"ENSG00000169306","IL1RAPL1","Disease related genes;Enzymes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Potential drug targets;Predicted membrane proteins;Protein evidence (Kim et al 2014)","Tissue enriched","brain","Detected in single","3.02 - brain","0.01 - bone marrow","Low tissue specificity","","Detected in all","85.60 - white matter","2.25 - choroid plexus","Low tissue specificity","","Detected in all","85.60 - cortical white matter","2.25 - choroid plexus","Low tissue specificity","","Detected in all","85.60 - parieto-temporal junction (white matter)","2.25 - choroid plexus",NA
"ENSG00000156920","ADGRG4","G-protein coupled receptors;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted membrane proteins;Protein evidence (Kim et al 2014)","Tissue enhanced","fallopian tube;intestine;retina","Detected in some","2.47 - intestine","0.00 - salivary gland","Not detected","","Not detected","0.74 - choroid plexus","0.21 - spinal cord","Not detected","","Not detected","0.74 - choroid plexus","0.14 - globus pallidus","Not detected","","Not detected","0.74 - choroid plexus","0.12 - nucleus ambiguus",NA
"ENSG00000155961","RAB39B","Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","brain;retina","Detected in many","11.67 - brain","0.05 - skeletal muscle","Low tissue specificity","","Detected in all","16.73 - white matter","6.09 - choroid plexus","Low tissue specificity","","Detected in all","16.73 - cortical white matter","6.09 - choroid plexus","Low tissue specificity","","Detected in all","16.73 - occipital cortex (white matter)","6.09 - choroid plexus",NA
"ENSG00000186310","NAP1L3","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014)","Tissue enhanced","brain","Detected in many","123.61 - brain","0.46 - skeletal muscle","Low tissue specificity","","Detected in all","145.93 - cerebral cortex","16.16 - choroid plexus","Low tissue specificity","","Detected in all","145.93 - parietal cortex","16.16 - choroid plexus","Low tissue specificity","","Detected in all","145.93 - postcentral gyrus","16.16 - choroid plexus",NA
"ENSG00000147231","RADX","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","brain;pituitary gland","Detected in many","24.33 - brain","0.50 - choroid plexus","Tissue enriched","hypothalamus","Detected in many","54.26 - hypothalamus","0.92 - choroid plexus","Tissue enhanced","tuberal hypothalamus","Detected in many","54.26 - tuberal hypothalamus","0.92 - choroid plexus","Tissue enhanced","arcuate nucleus;dorsomedial nucleus;paraventricular nucleus;preoptic area;supraoptic nucleus;ventromedial nucleus","Detected in many","54.26 - arcuate nucleus","0.72 - flocculonodular lobe",NA
"ENSG00000204019","CT83","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enriched","testis","Detected in some","62.27 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.05 - medulla oblongata","0.00 - hippocampal formation","Not detected","","Not detected","0.05 - medulla oblongata","0.00 - paleocortex","Not detected","","Not detected","0.05 - parvicellular reticular nuclei, medullary","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000203926","SPANXA2","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Tissue enriched","testis","Detected in single","19.39 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.31 - cerebral cortex","0.01 - choroid plexus","Not detected","","Not detected","0.31 - temporal cortex","0.01 - retrosplenial cortex","Not detected","","Not detected","0.31 - fusiform gyrus","0.01 - periaquaductal grey, dorsal",NA
"ENSG00000008056","SYN1","Cytoskeleton related proteins;Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enriched","brain","Detected in many","321.34 - brain","0.58 - thyroid gland","Low tissue specificity","","Detected in all","724.26 - cerebral cortex","9.55 - choroid plexus","Low tissue specificity","","Detected in all","724.26 - parietal cortex","9.55 - choroid plexus","Low tissue specificity","","Detected in all","724.26 - postcentral gyrus","8.19 - parieto-temporal junction (white matter)",NA
