"ENSG","Gene","Protein.class","Consensus.RNA.Specificity","Consensus.Enriched.Enhanced.Tissue","Consensus.Distribution","Consensus.Max","Consensus.Min","Human.brain.regional.RNA.Specificity","Human.brain.regional.Enriched.Enhanced.Tissue","Human.brain.regional.Distribution","Human.brain.regional.Max","Human.brain.regional.Min","Human.brain.domain.RNA.Specificity","Human.brain.domain.Enriched.Enhanced.Tissue","Human.brain.domain.Distribution","Human.brain.domain.Max","Human.brain.domain.Min","Human.brain.subregional.RNA.Specificity","Human.brain.subregional.Enriched.Enhanced.Tissue","Human.brain.subregional.Distribution","Human.brain.subregional.Max","Human.brain.subregional.Min","X"
"ENSG00000111361","EIF2B1","Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","49.81 - skin 1","20.98 - parathyroid gland","Low tissue specificity","","Detected in all","44.01 - white matter","27.46 - amygdala","Low tissue specificity","","Detected in all","44.01 - cortical white matter","24.53 - epithalamus","Low tissue specificity","","Detected in all","44.01 - parieto-temporal junction (white matter)","23.64 - posterior thalamic nucleus",NA
"ENSG00000111358","GTF2H3","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","16.24 - lymphoid tissue","3.53 - choroid plexus","Low tissue specificity","","Detected in all","18.02 - white matter","14.53 - choroid plexus","Low tissue specificity","","Detected in all","18.02 - cortical white matter","13.65 - mammillary body","Low tissue specificity","","Detected in all","18.02 - parieto-temporal junction (white matter)","12.90 - dorsal medullary reticular nucleus",NA
"ENSG00000185344","ATP6V0A2","Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","10.19 - bone marrow","3.41 - tongue","Low tissue specificity","","Detected in all","20.14 - white matter","15.87 - amygdala","Low tissue specificity","","Detected in all","20.14 - cortical white matter","14.04 - mammillary body","Low tissue specificity","","Detected in all","20.14 - parieto-temporal junction (white matter)","13.45 - perirhinal gyrus",NA
"ENSG00000197653","DNAH10","Cytoskeleton related proteins;Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014)","Tissue enhanced","fallopian tube;testis","Detected in some","4.03 - fallopian tube","0.01 - parathyroid gland","Low tissue specificity","","Detected in all","11.21 - midbrain","1.56 - cerebral cortex","Tissue enhanced","tegmentum","Detected in many","11.21 - tegmentum","0.84 - mammillary body","Tissue enhanced","cervical spinal cord, central gray;nucleus tractus solitarii;periaquaductal grey, dorsal;periaquaductal grey, lateral","Detected in many","11.21 - periaquaductal grey, lateral","0.53 - orbitofrontal gyrus, anterior",NA
"ENSG00000152137","HSPB8","Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","skeletal muscle","Detected in many","865.73 - skeletal muscle","0.05 - bone marrow","Low tissue specificity","","Detected in all","330.34 - hypothalamus","118.55 - cerebral cortex","Low tissue specificity","","Detected in all","330.34 - supraoptic hypothalamus","35.18 - cerebellum","Low tissue specificity","","Detected in all","330.34 - supraoptic nucleus","21.26 - flocculonodular lobe",NA
"ENSG00000110841","PPFIBP1","Cancer-related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","74.52 - heart muscle","3.37 - bone marrow","Low tissue specificity","","Detected in all","123.75 - cerebral cortex","48.10 - cerebellum","Low tissue specificity","","Detected in all","123.75 - claustrum","19.18 - cerebellum","Low tissue specificity","","Detected in all","123.75 - claustrum","15.12 - flocculonodular lobe",NA
"ENSG00000174236","REP15","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014)","Group enriched","intestine;stomach 1","Detected in many","75.17 - stomach 1","0.03 - bone marrow","Low tissue specificity","","Detected in all","3.77 - cerebral cortex","1.31 - cerebellum","Low tissue specificity","","Detected in many","3.77 - occipital cortex","0.60 - cerebellum","Low tissue specificity","","Detected in many","3.77 - area striata","0.51 - flocculonodular lobe",NA
"ENSG00000061794","MRPS35","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Ribosomal proteins","Low tissue specificity","","Detected in all","80.39 - skeletal muscle","13.63 - pituitary gland","Low tissue specificity","","Detected in all","27.79 - choroid plexus","21.21 - amygdala","Low tissue specificity","","Detected in all","27.79 - choroid plexus","17.92 - claustrum","Low tissue specificity","","Detected in all","27.79 - choroid plexus","14.55 - precentral gyrus",NA
"ENSG00000087448","KLHL42","Cytoskeleton related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in all","22.32 - intestine","2.56 - tongue","Low tissue specificity","","Detected in all","44.98 - white matter","15.12 - choroid plexus","Low tissue specificity","","Detected in all","44.98 - cortical white matter","15.12 - choroid plexus","Low tissue specificity","","Detected in all","44.98 - parieto-temporal junction (white matter)","15.12 - choroid plexus",NA
"ENSG00000087494","PTHLH","Cancer-related genes;Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins by Leigh Anderson;Predicted secreted proteins","Tissue enhanced","parathyroid gland","Detected in many","21.99 - parathyroid gland","0.01 - bone marrow","Low tissue specificity","","Detected in all","26.05 - choroid plexus","2.72 - spinal cord","Low tissue specificity","","Detected in all","26.05 - choroid plexus","1.25 - cerebellar white matter","Tissue enhanced","choroid plexus","Detected in many","26.05 - choroid plexus","0.87 - median raphe nucleus",NA
